codigo;lote;descripcion;almacen;stock_actual;fecha_inicio
QC-3583;441PBL22;JEEP CJ SERIES / WAGONEER / WRANGLER (CON RETORNO);000004;50;2022-10-04
QC-3641;441PBL22;DODGE PICK-UP RAM 2500. JEEP COMANCHE / CHEROKEE / WRANGLER;000001;400;2022-10-04
QC-3641;441PBL22;DODGE PICK-UP RAM 2500. JEEP COMANCHE / CHEROKEE / WRANGLER;000004;48;2022-10-04
QC-3727;441PBL22;CHEVROLET BLAZER / C - 1500 / CHEYENNE / CELEBRITY / CORVETTE / GRAND BLAZER / 2WD / 4WD / LUMINA / C10;000004;50;2022-10-04
QC-3802;441PBL22;FORD BRONCO PICO CORTO;000001;650;2022-10-04
QC-3802;441PBL22;FORD BRONCO PICO CORTO;000004;50;2022-10-04
QC-3850;441PBL22;FORD BRONCO / EXPLORER / F-150 / F-350;000001;1000;2022-10-04
QC-3850;441PBL22;FORD BRONCO / EXPLORER / F-150 / F-350;000004;4;2022-10-04
QC-5010;441PBL22;TOYOTA STARLET, ARAYA, SKY, COROLLA CARBURADO;000004;100;2022-10-04
QC-5110;441PBL22;TOYOTA HILUX (INYECCIÓN);000001;550;2022-10-04
QC-5110;441PBL22;TOYOTA HILUX (INYECCIÓN);000004;50;2022-10-04
QC-511A;441PBL22;VOLKSWAGEN, GOL / GOLF/ CROSSFOX / FOX/ SPACE FOX / POLO/ BORA;000001;500;2022-10-04
QC-511A;441PBL22;VOLKSWAGEN, GOL / GOLF/ CROSSFOX / FOX/ SPACE FOX / POLO/ BORA;000001;50;2022-10-04
